# XV6-RISCV Comprehensive Memory Analysis Report
# Maps every kernel address to exact source file and line number
# Generated from: kernel/kernel

=== MEMORY LAYOUT WITH SOURCE ATTRIBUTION ===
Address            Size    Symbol           Source Location
------------------------------------------------------------------------
0x0000000080000000    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/entry.S:12
0x0000000080000000    ? B   _entry           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/entry.S:12
0x000000008000001a    ? B   spin             /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/entry.S:21
0x000000008000001c    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/start.c:69
0x000000008000001c     72 B timerinit        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/start.c:68
0x0000000080000064    112 B start            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/start.c:29
0x00000000800000d4    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/console.c:62
0x00000000800000d4    162 B consolewrite     /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/console.c:61
0x0000000080000176    260 B consoleread      /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/console.c:86
0x000000008000027a     50 B consputc         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/console.c:35
0x00000000800002ac    384 B consoleintr      /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/console.c:142
0x000000008000042c     68 B consoleinit      /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/console.c:188
0x0000000080000470    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/printf.c:30
0x0000000080000470    138 B printint         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/printf.c:29
0x00000000800004fa    740 B printf           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/printf.c:64
0x00000000800007de     60 B panic            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/printf.c:137
0x000000008000081a     36 B printfinit       /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/printf.c:148
0x000000008000083e    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/uart.c:50
0x000000008000083e     86 B uartinit         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/uart.c:49
0x0000000080000894    148 B uartwrite        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/uart.c:80
0x0000000080000928     94 B uartputc_sync    /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/uart.c:106
0x0000000080000986     40 B uartgetc         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/uart.c:128
0x00000000800009ae    104 B uartintr         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/uart.c:142
0x0000000080000a16    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/kalloc.c:108
0x0000000080000a16    102 B kfree            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/kalloc.c:107
0x0000000080000a7c     72 B freerange        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/kalloc.c:91
0x0000000080000ac4     52 B kinit            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/kalloc.c:67
0x0000000080000af8     80 B kalloc           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/kalloc.c:143
0x0000000080000b48    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/spinlock.c:13
0x0000000080000b48     26 B initlock         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/spinlock.c:12
0x0000000080000b62     42 B holding          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/spinlock.c:77
0x0000000080000b8c     64 B push_off         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/spinlock.c:89
0x0000000080000bcc     68 B acquire          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/spinlock.c:22
0x0000000080000c10     80 B pop_off          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/spinlock.c:103
